#MODEL
truss

#NODES (id, x, y, supX, supY, supZ, kX, kY, kZ, Fx, Fy, Fz)
1,0,0,1,1,2,0,0,0,0,0,0
2,20,0,0,0,2,0,0,0,0,0,0
3,40,0,0,0,2,0,0,0,0,0,0
4,60,0,0,1,2,0,0,0,0,0,0
5,20,12,0,0,2,0,0,0,5000,-10000,0
6,40,12,0,0,2,0,0,0,0,-10000,0

#ELEMENTS (id, init_node, end_node, E, A, I, D, Qx, Qy)
1,1,2,30000000,1,0,0,0,0
2,2,3,30000000,1,0,0,0,0
3,3,4,30000000,1,0,0,0,0
4,4,6,30000000,1,0,0,0,0
5,5,6,30000000,1,0,0,0,0
6,1,5,30000000,1,0,0,0,0
7,2,5,30000000,1,0,0,0,0
8,3,6,30000000,1,0,0,0,0
9,3,5,30000000,1,0,0,0,0
10,2,6,30000000,1,0,0,0,0
